id	date	component	pices	invoiceno	addpdf	heat_no	target1	total_produced	remaining	batch_number	verified_by
161	2024-12-29	8603	208	1618	reports/ssb_SupplyOutward-2024-25-1618.pdf	51614 CR	0	0	0	NA	Shivam Sharma
160	2024-12-29	8601	728	1617	reports/ssb_SupplyOutward-2024-25-1617.pdf	51261 by	0	0	0	na	Shivam Sharma
159	2024-12-29	8601	347	1616	reports/ssb_SupplyOutward-2024-25-1616.pdf	51614 CR	0	0	0	na	Shivam Sharma
158	2024-12-28	728.06.033.01	7	1615	reports/ssb_SupplyOutward-2024-25-1615.pdf	KC175652	0	0	0	NA	Shivam Sharma
157	2024-12-28	728.06.033.01	17	1614	reports/ssb_SupplyOutward-2024-25-1614.pdf	A27021 SS-187	0	0	0	NA	Shivam Sharma
156	2024-12-28	728.06.033.01	8	1613	reports/ssb_SupplyOutward-2024-25-1613.pdf	3280 SS-191	0	0	0	NA	Shivam Sharma
155	2024-12-27	728.06.033.01	3	1612	reports/ssb_SupplyOutward-2024-25-1612.pdf	K186407 SS-190	0	0	0	NA	Shivam Sharma
154	2024-12-27	10169794	948	1611	reports/ssb_SupplyOutward-2024-25-1611.pdf	49984	7500	7632	-132	PP-20241214-DA-05	Shivam Sharma
153	2024-12-27	SU21094	72	1610	reports/ssb_SupplyOutward-2024-25-1610.pdf	7469 SS-217	0	0	0	NA	Shivam Sharma
152	2024-12-27	10169794	5364	1609	reports/ssb_SupplyOutward-2024-25-1609.pdf	49984	7500	7632	-132	PP-20241214-DA-05	Shivam Sharma
151	2024-12-28	728.06.033.01	243	1608	reports/ssb_SupplyOutward-2024-25-1608.pdf	A29548 SS-198	0	0	0	NA	Shivam Sharma
150	2024-12-27	8601	174	1607	reports/ssb_SupplyOutward-2024-25-1607.pdf	51614 BY	0	0	0	NA	Shivam Sharma
149	2024-12-27	8601	356	1606	reports/ssb_SupplyOutward-2024-25-1606.pdf	51612 AG	0	0	0	NA	Shivam Sharma
148	2024-12-27	3101-0000G	1215	1605	reports/ssb_SupplyOutward-2024-25-1605.pdf	m196575	4000	4000	0	PP-20241122-HI-03	Shivam Sharma
147	2024-12-27	10169794	3792	1604	reports/ssb_SupplyOutward-2024-25-1604.pdf	49983	7000	7000	0	PP-20241118-DA-01	Shivam Sharma
146	2024-12-27	10169794	1669	1603	reports/ssb_SupplyOutward-2024-25-1603.pdf	49984	7500	7632	-132	PP-20241214-DA-05	Shivam Sharma
145	2024-12-27	1324.332.018	1152	1602	reports/ssb_SupplyOutward-2024-25-1602.pdf	K194690 SS-205	0	0	0	NA	Shivam Sharma
144	2024-12-27	728.06.033.01	288	1601	reports/ssb_SupplyOutward-2024-25-1601.pdf	A29548 SS-198	0	0	0	NA	Shivam Sharma
143	2024-12-27	10442099	1763	1600	reports/ssb_SupplyOutward-2024-25-1600.pdf	49983 SS-210	0	0	0	na	Shivam Sharma
142	2024-12-27	10442099	287	1599	reports/ssb_SupplyOutward-2024-25-1599_diq9Ilh.pdf	49983 ss-210	0	0	0	na	Shivam Sharma
141	2024-12-27	10442099	1763	1599	reports/ssb_SupplyOutward-2024-25-1599.pdf	49984 ss-207	0	0	0	na	Shivam Sharma
140	2024-12-27	N07500001PHT/FTB	1332	1598	reports/ssb_SupplyOutward-2024-25-1598.pdf	kc174997 ss-203	0	0	0	na	Shivam Sharma
139	2024-12-26	18454	0	1597	reports/ssb_SupplyOutward-2024-25-1597.pdf	50030 ga	669	0	0	na	Shivam Sharma
